11000		Jon	V	Yang		jon24@adventure-works.com	1 (11) 500 555-0162	M	1966-04-08
11001		Eugene	L	Huang		eugene10@adventure-works.com	1 (11) 500 555-0110	M	1965-05-14
11002		Ruben		Torres		ruben35@adventure-works.com	1 (11) 500 555-0184	M	1965-08-12
11003		Christy		Zhu		christy12@adventure-works.com	1 (11) 500 555-0162	F	1968-02-15
11004		Elizabeth		Johnson		elizabeth5@adventure-works.com	1 (11) 500 555-0131	F	1968-08-08
11005		Julio		Ruiz		julio1@adventure-works.com	1 (11) 500 555-0151	M	1965-08-05
11006		Janet	G	Alvarez		janet9@adventure-works.com	1 (11) 500 555-0184	F	1965-12-06
11007		Marco		Mehta		marco14@adventure-works.com	1 (11) 500 555-0126	M	1964-05-09
11008		Rob		Verhoff		rob4@adventure-works.com	1 (11) 500 555-0164	F	1964-07-07
11009		Shannon	C	Carlson		shannon38@adventure-works.com	1 (11) 500 555-0110	M	1964-04-01
11010		Jacquelyn	C	Suarez		jacquelyn20@adventure-works.com	1 (11) 500 555-0169	F	1964-02-06
11011		Curtis		Lu		curtis9@adventure-works.com	1 (11) 500 555-0117	M	1963-11-04
11012		Lauren	M	Walker		lauren41@adventure-works.com	717-555-0164	F	1968-01-18
11013		Ian	M	Jenkins		ian47@adventure-works.com	817-555-0185	M	1968-08-06
11014		Sydney		Bennett		sydney23@adventure-works.com	431-555-0156	F	1968-05-09
11019		Luke	L	Lal		luke18@adventure-works.com	262-555-0112	M	1978-03-07
11020		Jordan	C	King		jordan73@adventure-works.com	550-555-0163	M	1978-09-20
11021		Destiny		Wilson		destiny7@adventure-works.com	622-555-0158	F	1978-09-03
11022		Ethan	G	Zhang		ethan20@adventure-works.com	589-555-0185	M	1978-10-12
11025		Alejandro		Beck		alejandro45@adventure-works.com	1 (11) 500 555-0178	M	1945-12-23
11026		Harold		Sai		harold3@adventure-works.com	1 (11) 500 555-0131	M	1946-04-03
11027		Jessie	R	Zhao		jessie16@adventure-works.com	1 (11) 500 555-0184	M	1946-12-07
11028		Jill		Jimenez		jill13@adventure-works.com	1 (11) 500 555-0116	F	1946-04-11
